Surveillance Activity;Year;Year started;has Surveillance Objective;Target Country;Target Pathogen;Susceptible species;has Surveillance purpose;has Surveillance Context;Target host species;Target host sector;applies sampling strategy;has sampling unit;has sampler type;sampling stage;sampled from organism;specimen list downloaded from ontology (EFSA);matrix type;sampled from anatomical entity;specimen from organism type;employes assay;has Diagnostic test type;Number tested;number positive;percentage positive;Total cases;Domestic cases;Imported cases;CRAC 1.1 Motivation / cause;CRAC 1.2. Requirement analysis;CRAC 1.3. Surveillance objective and constraints;CRAC 2.1. Framework design;CRAC 2.2. Variable specifications;CRAC 2.3. Surveillance methods/strategy;CRAC 2.4. Sampling plan;CRAC 2.4.1. Sampled population;CRAC 2.4.2. Sampling schema;CRAC 2.4.3. Sample collection;CRAC 2.4.4. Sample preparation;CRAC 2.4.5. Analytical procedures;CRAC 2.5. Data processing/analysis;CRAC 3.1. Practical aspects on sample selection;CRAC 3.2. Practical support activities;CRAC 3.3. Practical aspects on field and lab work;CRAC 3.4. Practical aspects on information handling;CRAC 4.1. Data integration;CRAC 4.2. Data classification / encoding;CRAC 4.3. Data validation;CRAC 4.4. Data cleansing and correction;CRAC 4.5. New variable/unit derivation;CRAC 4.6. Weighing of records;CRAC 4.7. Data aggregation;CRAC 5.1. Surveillance output generation;CRAC 5.2. Surveillance output validation;CRAC 5.3. Surveillance output statistical analysis;CRAC 5.4. Surveillance disclosure control;surveillance output;discussion
campy_sweden_slaughterhouse_2019;2019;1991;prevalence estimation;Sweden;Campylobacter spp;Gallus gallus;detect changes;Monitoring - active;Gallus gallus;broiler chickens;Census;slaughter batch;Official and industry sampling;Slaughterhouse;Gallus gallus;;Animal sample;caecum;organ/tissue sample;ISO/TS 10272-2:2006 Campylobacter;Detection;4363;230;0,052716021;;;;"Thermophilic Campylobacter species (spp.) are the most common cause of human bacterial gastroenteritis in many countries. A majority of infections are caused by C. jejuni, followed by C. coli and a few by other Campylobacter spp.
Birds are considered the principal reservoir, although Campylobacter can colonise the intestinal tract of many other animals. The bacterium is excreted in faeces. Campylobacter spp. are fragile organisms but can survive in freshwater for longer periods. The infectious dose for humans is low. Most European countries have a seasonal peak of Campylobacter prevalence in the summer months, both in chickens and humans. Risk factors for infection include consumption or handling of undercooked contaminated meat products (especially poultry), consuming contaminated unpasteurised milk and other dairy products, drinking from contaminated water supplies, travelling abroad and having contact with farm animals and pets.
During the last two decades, the incidence of human campylobacteriosis has varied between 67 and 110 cases per 100000 inhabitants.  Most cases are infected abroad, but in 2014–2018 the proportion of domestic infections increased due to several major outbreaks caused by domestically produced chicken meat.";Findings of thermophilic Campylobacter spp. in meat-producing poultry are notifiable in Sweden, according to SJVFS 2012:24. In addition, Campylobacter fetus subsp. venerealis, which causes bovine genital campylobacteriosis, is notifiable.;the goal is to achieve an overall annual Campylobacter prevalence of less than 10% in slaughter chicken. Prior to 2017, the goal was 5%. In 2017, the guidelines for the programme were reviewed;The Swedish Poultry Meat Association has operated a monitoring programme for broiler chicken since 1991. The programme is mainly financed by the Swedish Board of Agriculture (SJVFS 2015:17, K152) ;;;;The programme covers more than 99% of the broilers slaughtered in Sweden.;Since 2006, sampling is performed by collecting intact caeca from 10 birds per sampled slaughter batch at the major slaughterhouses. ;In 2019, seven slaughterhouses delivered samples. When the flock is slaughtered at more than one time point and the time interval between the slaughter batches is longer than four days, samples are taken from both batches, otherwise only from one of the batches. ;The caeca are pooled into one composite sample per batch ;analysed according to ISO-10272 part 1.;;;;;;;;;;;;;;;;;In 2019, thermophilic Campylobacter spp. were detected in 230 (5.3%) of the 4363 broiler chicken batches tested at slaughter (Figure [fig:poultry-flocks]), which is less than in previous years. Among the slaughter batches at the four largest slaughterhouses, which cover 97.2% of the slaughtered chicken, Campylobacter spp, was detected in 4.3% of them. The monthly prevalence of Campylobacter in chicken slaughter batches varied between 0.3% and 13% with the highest prevalence in July. The prevalence of Campylobacter in incoming batches varied between slaughterhouses.;In 2019, the annual prevalence of Campylobacter in chicken slaughter batches was lower than in previous years.// Campylobacter prevalence varies considerably between slaughterhouses, with only a few findings at some and higher prevalence at others. During the last ten-year period, the Swedish chicken production has increased by approximately 30% and the share of fresh chicken meat has increased compared to frozen meat. This has led to a higher amount of potentially contaminated chicken meat at the market, because Campylobacter are sensitive to freezing and therefore more common in fresh than in frozen meat.
campy_sweden_slaughterhouse_2018;2018;1991;prevalence estimation;Sweden;Campylobacter spp;Gallus gallus;detect changes;Monitoring - active;Gallus gallus;broiler chickens;Census;slaughter batch;Official and industry sampling;Slaughterhouse;Gallus gallus;;Animal sample;caecum;organ/tissue sample;ISO/TS 10272-2:2006 Campylobacter;Detection;4331;377;0,087046871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_slaughterhouse_2017;2017;1991;prevalence estimation;Sweden;Campylobacter spp;Gallus gallus;detect changes;Monitoring - active;Gallus gallus;broiler chickens;Census;slaughter batch;Official and industry sampling;Slaughterhouse;Gallus gallus;;Animal sample;caecum;organ/tissue sample;ISO/TS 10272-2:2006 Campylobacter;Detection;4419;474;0,107264087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_slaughterhouse_2016;2016;1991;prevalence estimation;Sweden;Campylobacter spp;Gallus gallus;detect changes;Monitoring - active;Gallus gallus;broiler chickens;Census;slaughter batch;Official and industry sampling;Slaughterhouse;Gallus gallus;;Animal sample;caecum;organ/tissue sample;ISO/TS 10272-2:2006 Campylobacter;Detection;4389;678;0,154477102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_slaughterhouse_2015;2015;1991;prevalence estimation;Sweden;Campylobacter spp;Gallus gallus;detect changes;Monitoring - active;Gallus gallus;broiler chickens;Census;slaughter batch;Official and industry sampling;Slaughterhouse;Gallus gallus;;Animal sample;caecum;organ/tissue sample;ISO/TS 10272-2:2006 Campylobacter;Detection;3759;437;0,116254323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_slaughterhouse_2014;2014;1991;prevalence estimation;Sweden;Campylobacter spp;Gallus gallus;detect changes;Monitoring - active;Gallus gallus;broiler chickens;Census;slaughter batch;Official and industry sampling;Slaughterhouse;Gallus gallus;;Animal sample;caecum;organ/tissue sample;ISO/TS 10272-2:2006 Campylobacter;Detection;3162;363;0,114800759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_slaughterhouse_2013;2013;1991;prevalence estimation;Sweden;Campylobacter spp;Gallus gallus;detect changes;Monitoring - active;Gallus gallus;broiler chickens;Census;slaughter batch;Official and industry sampling;Slaughterhouse;Gallus gallus;;Animal sample;caecum;organ/tissue sample;ISO/TS 10272-2:2006 Campylobacter;Detection;3046;267;0,087655942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_slaughterhouse_2012;2012;1991;prevalence estimation;Sweden;Campylobacter spp;Gallus gallus;detect changes;Monitoring - active;Gallus gallus;broiler chickens;Census;slaughter batch;Official and industry sampling;Slaughterhouse;Gallus gallus;;Animal sample;caecum;organ/tissue sample;ISO/TS 10272-2:2006 Campylobacter;Detection;2346;217;0,092497869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_slaughterhouse_2011;2011;1991;prevalence estimation;Sweden;Campylobacter spp;Gallus gallus;detect changes;Monitoring - active;Gallus gallus;broiler chickens;Census;slaughter batch;Official and industry sampling;Slaughterhouse;Gallus gallus;;Animal sample;caecum;organ/tissue sample;ISO/TS 10272-2:2006 Campylobacter;Detection;2788;357;0,12804878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
campy_sweden_slaughterhouse_2010;2010;1991;prevalence estimation;Sweden;Campylobacter spp;Gallus gallus;detect changes;Monitoring - active;Gallus gallus;broiler chickens;Census;slaughter batch;Official and industry sampling;Slaughterhouse;Gallus gallus;;Animal sample;caecum;organ/tissue sample;ISO/TS 10272-2:2006 Campylobacter;Detection;3357;444;0,132260947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
